AAL_region,column_name,n_DS,n_Control,mean_DS,mean_Control,t_stat,p_value
79,79_norm_ICV,36,35,0.0008140644597954417,0.0007621825861787474,0.9918198081827436,0.32481296767559076
81,81_norm_ICV,36,35,0.00782679171333793,0.006736725989298153,3.8208078018088556,0.00029109893402222615
83,83_norm_ICV,36,35,0.007519939961328391,0.006136909103015901,3.9787473936193307,0.0001741058222230753
85,85_norm_ICV,36,35,0.006532441536447894,0.00523646768734431,5.149720152002009,2.5288883585419863e-06
87,87_norm_ICV,36,35,0.0014054680035525847,0.0012082113478207243,2.125867125632037,0.0371723162857272
89,89_norm_ICV,36,35,0.004734393992318746,0.004422026781802997,1.6588778833758775,0.10171666915309124
2,2_norm_ICV,36,35,0.00718532779495727,0.007292189876373071,-0.21585013351063323,0.8297422028738598
4,4_norm_ICV,36,35,0.00792669965602133,0.010514595246034795,-3.0227498670263175,0.0036547924189514573
6,6_norm_ICV,36,35,0.0022850117702920437,0.0023871532208869137,-1.0671417516209731,0.2896586776147286
8,8_norm_ICV,36,35,0.011286631202209732,0.011724896350485361,-0.41924500446707974,0.6763422375362882
10,10_norm_ICV,36,35,0.001984058171370899,0.0020444582645843235,-0.41983015379317995,0.675918808834402
12,12_norm_ICV,36,35,0.0023190863009163554,0.002082213527855823,1.3962462628407981,0.16712761893740102
14,14_norm_ICV,36,35,0.003877196009457944,0.003235977986691988,2.0909676732074685,0.04087172455206475
16,16_norm_ICV,36,35,0.005025699545948221,0.00434263363404319,2.9033593809869283,0.005008006959512078
18,18_norm_ICV,36,35,0.0022791913656605867,0.0018393129955830518,4.137334153027565,0.000105518370390942
20,20_norm_ICV,36,35,0.005234506166035856,0.005086434978690891,0.32168857290185593,0.7486632654233751
22,22_norm_ICV,36,35,0.001216308732641561,0.0011099792414600669,1.6082244656078695,0.11287343723714499
24,24_norm_ICV,36,35,0.00639794712468503,0.006794477924269424,-0.685520621433297,0.4954937639826581
26,26_norm_ICV,36,35,0.001091330730251072,0.0011983651908656205,-0.9084445678609041,0.3668657250690064
28,28_norm_ICV,36,35,0.002084821675483668,0.0020699570815015814,0.13259738847974173,0.8949033326079878
30,30_norm_ICV,36,35,0.0029245486742188725,0.002364431166786657,4.180800998948019,8.986404320054684e-05
32,32_norm_ICV,36,35,0.0012830555635923667,0.0013932011920056496,-0.7101054547100267,0.48003930305573106
34,34_norm_ICV,36,35,0.0011206370444981914,0.0011162264652098753,0.036389203110096385,0.9710777224193181
36,36_norm_ICV,36,35,0.0002560394334899402,0.0002556021580159192,0.011732852991726979,0.9906726106832193
40,40_norm_ICV,36,35,0.001859805567200556,0.0021929126643324215,-2.2569276350137337,0.027212196751252502
44,44_norm_ICV,36,35,0.003348235293262673,0.003007269334428923,1.846295816375848,0.06926407321288704
46,46_norm_ICV,36,35,0.0029972652141768185,0.00344564109054624,-2.790573948009407,0.006864069485225945
48,48_norm_ICV,36,35,0.0023084466316484987,0.002117531967431962,1.1243409785567318,0.2653227743431266
50,50_norm_ICV,36,35,0.0010927239004599307,0.0011759571255107193,-1.027092740805576,0.30818236895971934
52,52_norm_ICV,36,35,0.003088238680635567,0.002666303349185104,2.751947499998079,0.007618733074710258
54,54_norm_ICV,36,35,0.0029174082155584394,0.002719240301469404,1.280648944499503,0.2046080812569827
56,56_norm_ICV,36,35,0.004753115670521221,0.003536967621049615,4.355995716847107,6.34170583635259e-05
58,58_norm_ICV,36,35,0.007711837662329268,0.007288760025612638,0.8704283132622769,0.3874448129968797
60,60_norm_ICV,36,35,0.004562889180712035,0.00475735257434811,-0.6825936823058777,0.4972828565323858
62,62_norm_ICV,36,35,0.0012957886426586498,0.0011045071024448324,1.6309229689265992,0.10764155993291374
64,64_norm_ICV,36,35,0.0024043254519826576,0.0024789559141416306,-0.4339989836694468,0.6656845115057858
66,66_norm_ICV,36,35,0.002249384666480664,0.002250483684132637,-0.008065671936924796,0.9935916616689044
68,68_norm_ICV,36,35,0.005068753154268933,0.005546467952321015,-1.4033778762344629,0.16513798110017497
70,70_norm_ICV,36,35,0.0032126373628562537,0.0026846127686298324,1.7292995803113014,0.08888896357523839
80,80_norm_ICV,36,35,0.0008035715778984701,0.0007560688770933874,1.0470028380116423,0.29875331093572377
82,82_norm_ICV,36,35,0.006948970770631726,0.00633955906712672,2.0012964607544106,0.049474632336041706
84,84_norm_ICV,36,35,0.007210948797951842,0.006131174901222895,3.1959689395013924,0.002105594408309657
86,86_norm_ICV,36,35,0.0061272785915126,0.004944581612630511,4.652082475689412,1.651716511171552e-05
88,88_norm_ICV,36,35,0.0015600345177108025,0.0014334038703940248,1.2238550015320824,0.22518820654269564
90,90_norm_ICV,36,35,0.0051710808173898795,0.004564554508420214,2.913924534530848,0.004834093261145173
